Movie Name,Time,Rating,Top 7 Cast,Western,Documentary,Music,TV Movie,War,History,Horror,Romance,Drama,Mystery,Fantasy,Crime,Comedy,Family,Animation,Thriller,Adventure,Science Fiction,Action
Despicable Me 4 (2024),94,71,Steve CarellGru (voice); Kristen WiigLucy (voice); Will FerrellMaxime (voice); Sofía VergaraValentina (voice); Miranda CosgroveMargo (voice); Dana GaierEdith (voice); Madison PolanAgnes (voice),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
The Moor (2024),120,52,Sophia La PortaClaire; David Edward-RobertsonBill; Elizabeth Dormer-PhillipsEleanor; Mark PeacheyAlex; Vicki HackettLiz; Bernard HillThornley; Dexter Sol AnsellDanny,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Solo Leveling -ReAwakening- (2024),116,72,Taito BanShun Mizushino (voice) (archive footage); Genta NakamuraKenta Morobishi (voice) (archive footage); Haruna MikawaAoi Mizushino (voice) (archive footage); Reina UedaShizuku Kousaka (voice) (archive footage); Daisuke HirakawaShin Mogami (voice) (archive footage); Hiroki TouchiTaiga Shirakawa (voice) (archive footage); Banjo GingaKiyoomi Goto (voice) (archive footage),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Knox Goes Away (2024),114,70,Michael KeatonJohn Knox; Al PacinoXavier Crane; Marcia Gay HardenRuby Knox; James MarsdenMiles Knox; Suzy NakamuraDetective Emily Ikari; Joanna KuligAnnie; Ray McKinnonThomas Muncie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
My Fault (2023),117,79,Nicole WallaceNoah Morgan; Gabriel GuevaraNick Leister; Marta HazasRafaela; Iván SánchezWilliam Leister; Eva RuizJenna; Víctor VaronaLion; Fran BerenguerRonnie,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Classified (2024),105,59,Aaron EckhartEvan Shaw; Tim RothKevin Angler; Abigail BreslinKacey Walker; Matt HookingsAntonio Griffin; Lucky AliLuca; Joe AzzopardiBarman; Kirsty BartoloTourist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Sonic the Hedgehog 3 (2024),110,76,Ben SchwartzSonic (voice); Jim CarreyDr. Robotnik / Gerald Robotnik; Keanu ReevesShadow (voice); Idris ElbaKnuckles (voice); Colleen O'ShaughnesseyTails (voice); Krysten RitterDirector Rockwell; James MarsdenTom Wachowski,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Spellbound (2024),111,68,Rachel ZeglerEllian (voice); Miguel BernardeauChilo (voice); Giovanna BushOrsola (voice); Dennis StoweLumbrian Soldier (voice); Jenifer LewisNazara (voice); Dee Bradley BakerFlink (voice); Susan FitzerOld Maid (voice),0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
Arcadian (2024),92,61,Nicolas CagePaul; Jaeden MartellJoseph; Maxwell JenkinsThomas; Sadie SoverallCharlotte; Samantha CoughlanMrs. Rose; Joel GillmanHobson; Joe DixonMr. Rose,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
Cash Out (2024),90,64,John TravoltaMason Goddard; Kristin DavisAmelia Decker; Lukas HaasShawn Goddard; QuavoAnton; Joel CohenVernon Richter; Noel GugliemiHector; Daniel Louis RivasChaz Antonelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mary (2024),110,62,Anthony HopkinsKing Herod; Noa CohenMary; Ido TakoJoseph; Mili AvitalMariamne; Stephanie NurSalome; Eamon FarrenSatan; Soufiane El KhalidyFrustrated Pilgrim,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Survive (2024),90,58,Andreas PietschmannTom; Émilie DequenneJulia; Lucas EbelBen; Arben BajraktarajL'homme au harpon; Lisa DelamarCassie; Olivier Ho Hio HenNao; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
How the Grinch Stole Christmas (2000),104,68,Jim CarreyGrinch; Taylor MomsenCindy Lou Who; Jeffrey TamborMayor Augustus Maywho; Christine BaranskiMartha May Whovier; Bill IrwinLou Lou Who; Molly ShannonBetty Lou Who; Clint HowardWhobris,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
The Count of Monte Cristo (2024),178,81,Pierre NineyEdmond Dantès / The Count of Monte Cristo / Lord Halifax; Bastien BouillonFernand de Morcerf; Anaïs DemoustierMercédès Herrera; Anamaria VartolomeiHaydée; Laurent LafitteGérard de Villefort; Pierfrancesco FavinoAbbé Faria; Patrick MilleDanglars,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Wake Up (2024),80,71,Turlough ConveryKevin; Benny O. ArthurEthan; Alessia Yoko FontanaGrace; Jacqueline MoréYasmin; Kyle ScudderTyler; Thomas GouldKarim; Charlotte StoiberEmily,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Dear Santa (2024),108,64,Robert Timothy SmithLiam Turner; Jack BlackSatan; Keegan-Michael KeyDr. Finkleman; Brianne HoweyMolly Turner; Hayes MacArthurBill Turner; P.J. ByrneMr. Charles; Jaden Carson BakerGibby,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Remnant (2024),112,54,Nicole PritchardAnna Symes / Ghostly Figure; Shaun Robert FoleyJohn Barnes; Tsu Shan ChambersDr. Adriana Stone; Remi WebsterSophie Bridges; Megan BellGrace Wheeler; Martin Ashley JonesKevin Bridges; ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Japanese Mom (2017),91,62,Jeon Ji-hakMin-cheol (민철); Choi Min-hoGi-ho; Saki MizumiYuki; Ha RooMinky - Cameo; Ahn So-heeEun-ji; ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
We Live in Time (2024),108,76,Andrew GarfieldTobias; Florence PughAlmut; Grace DelaneyElla; Lee BraithwaiteJade; Aoife HindsSkye; Adam JamesSimon Maxson; Douglas HodgeReginald,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dominique (2024),94,75,Oksana OrlanDominique; Sebastián CarvajalJulio; María del RosarioPaulina; Maurice CompteChief Santiago; Chase ColemanJohn; Ski CarrGonzalo; Jose Conejo MartinOfficer Chago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
My Grandfather's Demons (2022),85,45,Victoria GuerraRosa (voice); António DurãesGrandpa Marcelino (voice); Ana Sofia MartinsLaura (voice); Nuno LopesJoão (voice); João TemperaHugo (voice); Celso BugalloAntónio (voice); Martim BalsaChico (voice),0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Subservience (2024),105,68,Megan FoxAlice; Michele MorroneNick; Madeline ZimaMaggie; Matilda FirthIsla; Andrew WhippMonty; Atanas SrebrevLewis; Kate NicholsLyla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
OVERLORD: The Sacred Kingdom (2024),134,77,Satoshi HinoAinz Ooal Gown / Momonga (voice); Yumi HaraAlbedo (voice); Masayuki KatouDemiurge (voice); Yoshino AoyamaNeia Baraja (voice); Hitomi NabatameRemedios Custodio (voice); Saori HayamiCalca Bessarez (voice); Haruka TomatsuKelart Custodio (voice),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
The Grinch (2018),85,69,Benedict CumberbatchGrinch (voice); Rashida JonesDonna Lou Who (voice); Kenan ThompsonBricklebaum (voice); Cameron SeelyCindy Lou Who (voice); Angela LansburyMayor McGerkle (voice); Pharrell WilliamsNarrator (voice); Ramone HamiltonAxl (voice),0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Sing: Thriller (2024),11,73,Matthew McConaugheyBuster Moon (voice); Tori KellyMeena (voice); Nick KrollGunter (voice); Scarlett JohanssonAsh (voice); Taron EgertonJohnny (voice); Garth JenningsMiss Crawly (voice); Eric HayesAdditional Voices (voice),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Venom (2018),112,68,Tom HardyEddie Brock / Venom; Michelle WilliamsAnne Weying; Riz AhmedCarlton Drake / Riot; Scott HazeSecurity Chief Roland Treece; Reid ScottDr. Dan Lewis; Jenny SlateDr. Dora Skirth; Melora WaltersHomeless Woman Maria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Battle for the Western Front (2022),90,59,Michael LakeYoung Man; Christopher CordellBench; Sylvain PlasseSylvain - French Farmer; Somerville BlackBethany; Aaron HuggettCEF Officer; Corey ChaineyGerman Soldier; Sam BiskeyJulian SeguinAdam Daniel MezelKyle Naylor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azrael (2024),86,60,Samara WeavingAzrael; Vic Carmen SonneMiriam; Katariina UntJosefine; Peter ChristoffersenDemian; Nathan Stewart-JarrettKenan; Johhan RosenbergAnton; Eero MilonoffLuther,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Venom: Let There Be Carnage (2021),97,68,Tom HardyEddie Brock / Venom; Woody HarrelsonCletus Kasady / Carnage; Michelle WilliamsAnne Weying; Naomie HarrisFrances Louise Barrison / Shriek; Reid ScottDr. Dan Lewis; Stephen GrahamDetective Mulligan; Peggy LuMrs. Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bad Boys: Ride or Die (2024),115,75,Will SmithMike Lowrey; Martin LawrenceMarcus Burnett; Vanessa HudgensKelly; Alexander LudwigDorn; Paola NuñezRita; Eric DaneMcGrath; Ioan GruffuddLockwood,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
Freedom (2024),110,65,Lucas BravoBruno Sulak; Yvan AttalGeorge Moréas; Léa Luce BusatoAnnie; Steve TientcheuDrago; David AyalaBelina; Léo ChaliéMarika; Slimane DaziJean-Louis,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Skin. Like. Sun. (2010),60,63,Wim van DammeHimself; Floor WynsHerself; ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Home Alone 2: Lost in New York (1992),120,68,Macaulay CulkinKevin; Joe PesciHarry; Daniel SternMarv; Catherine O'HaraKate; John HeardPeter; Brenda FrickerPigeon Lady; Tim CurryConcierge,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
An Almost Christmas Story (2024),24,72,Cary ChristopherMoon (voice); Estella MadrigalLuna (voice); Jim GaffiganPapa Owl (voice); Mamoudou AthiePelly (voice); Alex Ross PerryDave The Dog (voice); Gianna JosephPeaky (voice); Phil RosenthalPunt (voice),0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Juror #2 (2024),114,70,Nicholas HoultJustin Kemp; Toni ColletteFaith Killebrew; Chris MessinaEric Resnick; Zoey DeutchAllison Crewson; J.K. SimmonsHarold Chincowski; Cedric YarbroughMarcus; Kiefer SutherlandLarry Lasker,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
